"restaurant_id","restaurant_name","total_revenue","revenue_rank"
176,"Delhi Darbar 176","15768.07","1"
92,"Burger Factory 92","13968.69","2"
288,"Urban Tadka 288","13709.31","3"
41,"Golden Spoon 41","12118.26","4"
71,"Saffron Delight 71","11975.97","5"
212,"Saffron Delight 212","11607.92","6"
200,"Chai & Chat 200","10687.16","7"
147,"The Food Studio 147","10509.77","8"
252,"Mumbai Masala 252","10131.39","9"
213,"Pizza Junction 213","10107.61","10"
56,"Kolkata Kitchen 56","10022.90","11"
161,"Pizza Junction 161","9973.97","12"
295,"Spice Villa 295","9880.24","13"
253,"Spice Villa 253","9544.13","14"
86,"The Food Studio 86","9375.57","15"
284,"Chai & Chat 284","9245.84","16"
156,"Pizza Junction 156","9077.11","17"
112,"Punjabi Dhaba 112","9060.92","18"
215,"Dragon Wok 215","9055.82","19"
285,"Biryani House 285","8826.54","20"
296,"Bombay Bistro 296","8745.63","21"
155,"Delhi Darbar 155","8718.19","22"
201,"Biryani House 201","8711.30","23"
120,"Delhi Darbar 120","8705.74","24"
146,"Mumbai Masala 146","8688.91","25"
168,"Annapurna Bhavan 168","8523.26","26"
276,"Punjabi Dhaba 276","8509.97","27"
249,"Golden Spoon 249","8507.99","28"
55,"Masala Magic 55","8491.97","29"
63,"Masala Magic 63","8491.49","30"
300,"Annapurna Bhavan 300","8389.14","31"
74,"Golden Spoon 74","8284.23","32"
237,"Mughal Mahal 237","8205.84","33"
174,"Delhi Darbar 174","8132.84","34"
242,"Dragon Wok 242","8055.76","35"
158,"Dragon Wok 158","7876.10","36"
103,"The Curry Leaf 103","7793.70","37"
259,"Urban Tadka 259","7584.41","38"
93,"South Spice 93","7539.80","39"
142,"The Curry Leaf 142","7452.59","40"
233,"Punjabi Dhaba 233","7398.32","41"
184,"Dragon Wok 184","7388.33","42"
291,"South Spice 291","7350.07","43"
136,"Punjabi Dhaba 136","7349.76","44"
35,"Flavours of India 35","7344.65","45"
177,"Chutney Express 177","7226.17","46"
269,"Urban Tadka 269","7139.46","47"
90,"The Food Studio 90","7079.81","48"
172,"Chutney Express 172","7068.60","49"
12,"Curry Kingdom 12","7045.31","50"
79,"Dragon Wok 79","7039.25","51"
164,"Mughal Mahal 164","7026.41","52"
52,"Dragon Wok 52","7022.54","53"
218,"Annapurna Bhavan 218","6963.41","54"
135,"Mumbai Masala 135","6914.05","55"
251,"Flavours of India 251","6874.05","56"
91,"Curry Kingdom 91","6855.04","57"
69,"Masala Magic 69","6825.25","58"
196,"Punjabi Dhaba 196","6786.11","59"
230,"The Curry Leaf 230","6743.61","60"
85,"The Hungry Panda 85","6733.07","61"
88,"Burger Factory 88","6695.12","62"
104,"The Food Studio 104","6688.77","63"
84,"Dragon Wok 84","6641.95","64"
267,"Taste of Punjab 267","6620.19","65"
34,"South Spice 34","6604.03","66"
292,"Burger Factory 292","6601.83","67"
24,"Delhi Darbar 24","6541.02","68"
293,"Golden Spoon 293","6511.65","69"
122,"Kolkata Kitchen 122","6510.47","70"
203,"Golden Spoon 203","6501.43","71"
96,"Mumbai Masala 96","6484.43","72"
228,"Pizza Junction 228","6462.79","73"
60,"Chai & Chat 60","6406.27","74"
44,"Golden Spoon 44","6405.32","75"
77,"The Food Studio 77","6372.20","76"
236,"Burger Factory 236","6366.57","77"
219,"South Spice 219","6348.50","78"
133,"Biryani House 133","6293.45","79"
73,"Kolkata Kitchen 73","6274.07","80"
67,"Golden Spoon 67","6111.90","81"
193,"The Curry Leaf 193","6056.27","82"
243,"South Spice 243","6039.10","83"
268,"The Hungry Panda 268","6006.30","84"
54,"Royal Tandoor 54","5950.98","85"
223,"Annapurna Bhavan 223","5949.14","86"
226,"Mumbai Masala 226","5947.01","87"
40,"Pizza Junction 40","5936.64","88"
3,"South Spice 3","5915.47","89"
167,"Taste of Punjab 167","5909.13","90"
179,"Curry Kingdom 179","5881.29","91"
232,"Caf̩ Masaledar 232","5856.76","92"
143,"Royal Tandoor 143","5846.19","93"
214,"Chai & Chat 214","5750.24","94"
145,"South Spice 145","5640.29","95"
274,"Taste of Punjab 274","5532.58","96"
117,"Masala Magic 117","5521.00","97"
255,"Golden Spoon 255","5473.63","98"
31,"Bombay Bistro 31","5464.33","99"
46,"The Hungry Panda 46","5420.80","100"
238,"Masala Magic 238","5398.80","101"
25,"Chai & Chat 25","5303.63","102"
127,"Tandoori Nights 127","5299.40","103"
150,"Rasoi Ghar 150","5243.84","104"
278,"Curry Kingdom 278","5187.00","105"
205,"Mughal Mahal 205","5110.40","106"
115,"Annapurna Bhavan 115","5088.25","107"
148,"Pizza Junction 148","5077.08","108"
94,"The Food Studio 94","5065.39","109"
47,"Caf̩ Masaledar 47","5047.34","110"
95,"Rasoi Ghar 95","5007.04","111"
239,"Biryani House 239","4981.80","112"
99,"The Food Studio 99","4966.55","113"
286,"Urban Tadka 286","4944.24","114"
140,"Golden Spoon 140","4929.38","115"
21,"Masala Magic 21","4911.43","116"
154,"The Curry Leaf 154","4903.61","117"
195,"Flavours of India 195","4873.11","118"
16,"Taste of Punjab 16","4849.48","119"
159,"Spice Villa 159","4840.35","120"
244,"Mumbai Masala 244","4821.89","121"
263,"Rasoi Ghar 263","4792.31","122"
250,"Rasoi Ghar 250","4789.23","123"
220,"Dragon Wok 220","4780.19","124"
4,"Royal Tandoor 4","4757.41","125"
118,"Chutney Express 118","4732.16","126"
126,"Annapurna Bhavan 126","4721.08","127"
297,"Dragon Wok 297","4705.09","128"
248,"Taste of Punjab 248","4703.32","129"
28,"Dragon Wok 28","4690.60","130"
53,"Chai & Chat 53","4656.99","131"
254,"Delhi Darbar 254","4623.09","132"
61,"Flavours of India 61","4621.76","133"
207,"Pizza Junction 207","4620.17","134"
198,"Delhi Darbar 198","4586.16","135"
290,"Saffron Delight 290","4527.16","136"
225,"Royal Tandoor 225","4509.93","137"
181,"Delhi Darbar 181","4491.43","138"
162,"Masala Magic 162","4465.82","139"
188,"Rasoi Ghar 188","4464.89","140"
66,"Caf̩ Masaledar 66","4442.00","141"
235,"Biryani House 235","4410.35","142"
83,"Mumbai Masala 83","4382.42","143"
13,"Rasoi Ghar 13","4357.80","144"
80,"Masala Magic 80","4308.49","145"
261,"Curry Kingdom 261","4294.51","146"
280,"Taste of Punjab 280","4281.70","147"
109,"Madras Cafe 109","4278.52","148"
199,"Golden Spoon 199","4251.46","149"
206,"Curry Kingdom 206","4209.43","150"
240,"Kolkata Kitchen 240","4175.38","151"
124,"Taste of Punjab 124","4107.47","152"
51,"Flavours of India 51","4107.25","153"
186,"Flavours of India 186","4029.38","154"
17,"Chai & Chat 17","4025.86","155"
170,"Rasoi Ghar 170","3983.99","156"
48,"Madras Cafe 48","3973.30","157"
134,"Burger Factory 134","3966.39","158"
166,"Spice Villa 166","3960.49","159"
265,"Burger Factory 265","3910.64","160"
229,"Mughal Mahal 229","3884.01","161"
182,"Chai & Chat 182","3855.61","162"
9,"Delhi Darbar 9","3834.56","163"
70,"Kolkata Kitchen 70","3820.81","164"
211,"Bombay Bistro 211","3783.24","165"
138,"Biryani House 138","3755.38","166"
137,"The Curry Leaf 137","3752.69","167"
191,"Rasoi Ghar 191","3740.99","168"
175,"Saffron Delight 175","3732.83","169"
173,"Chai & Chat 173","3712.09","170"
19,"Chai & Chat 19","3695.50","171"
97,"Bombay Bistro 97","3642.03","172"
128,"Bombay Bistro 128","3626.21","173"
157,"Rasoi Ghar 157","3597.72","174"
272,"Annapurna Bhavan 272","3579.58","175"
277,"Saffron Delight 277","3569.01","176"
294,"Chai & Chat 294","3567.25","177"
26,"Chai & Chat 26","3526.20","178"
287,"Curry Kingdom 287","3519.96","179"
169,"Flavours of India 169","3514.60","180"
20,"Pizza Junction 20","3492.62","181"
270,"Golden Spoon 270","3480.85","182"
256,"Pizza Junction 256","3418.85","183"
38,"Curry Kingdom 38","3356.21","184"
204,"Kolkata Kitchen 204","3334.36","185"
33,"Pizza Junction 33","3315.90","186"
98,"Pizza Junction 98","3274.20","187"
32,"Annapurna Bhavan 32","3253.99","188"
121,"Spice Villa 121","3240.18","189"
190,"Punjabi Dhaba 190","3236.19","190"
18,"Delhi Darbar 18","3223.21","191"
185,"South Spice 185","3193.54","192"
102,"Caf̩ Masaledar 102","3178.59","193"
187,"Curry Kingdom 187","3158.65","194"
275,"Golden Spoon 275","3133.58","195"
50,"Mughal Mahal 50","3131.94","196"
132,"The Hungry Panda 132","3104.11","197"
257,"Madras Cafe 257","3090.59","198"
222,"Punjabi Dhaba 222","3033.72","199"
183,"Urban Tadka 183","3021.57","200"
27,"The Curry Leaf 27","3011.98","201"
180,"Dragon Wok 180","2978.71","202"
289,"Royal Tandoor 289","2965.34","203"
260,"Biryani House 260","2948.70","204"
130,"Tandoori Nights 130","2907.91","205"
58,"Curry Kingdom 58","2886.01","206"
101,"Saffron Delight 101","2842.79","207"
264,"Pizza Junction 264","2804.58","208"
111,"Caf̩ Masaledar 111","2751.31","209"
100,"Chutney Express 100","2671.91","210"
59,"Mughal Mahal 59","2670.42","211"
141,"Madras Cafe 141","2541.29","212"
160,"Taste of Punjab 160","2537.99","213"
14,"Madras Cafe 14","2497.60","214"
107,"Kolkata Kitchen 107","2430.48","215"
62,"Pizza Junction 62","2414.51","216"
8,"Bombay Bistro 8","2413.97","217"
125,"The Hungry Panda 125","2406.89","218"
281,"Masala Magic 281","2402.89","219"
108,"Taste of Punjab 108","2370.37","220"
119,"The Hungry Panda 119","2351.15","221"
171,"Golden Spoon 171","2344.38","222"
43,"The Food Studio 43","2340.54","223"
266,"Taste of Punjab 266","2326.38","224"
