"restaurant_id","restaurant_name","avg_rating","total_revenue"
176,"Delhi Darbar 176","3.50","13877.56"
92,"Burger Factory 92","3.70","13162.58"
288,"Urban Tadka 288","3.60","12386.44"
41,"Golden Spoon 41","4.90","11065.40"
71,"Saffron Delight 71","3.40","11001.43"
212,"Saffron Delight 212","4.90","10926.50"
213,"Pizza Junction 213","4.90","9479.48"
200,"Chai & Chat 200","4.60","9419.76"
147,"The Food Studio 147","4.70","9413.07"
252,"Mumbai Masala 252","4.60","9088.22"
295,"Spice Villa 295","4.40","8926.39"
161,"Pizza Junction 161","4.00","8906.70"
253,"Spice Villa 253","3.80","8782.96"
56,"Kolkata Kitchen 56","3.90","8725.18"
112,"Punjabi Dhaba 112","3.00","8374.05"
86,"The Food Studio 86","3.70","8230.37"
215,"Dragon Wok 215","4.00","8108.65"
201,"Biryani House 201","3.80","8083.05"
156,"Pizza Junction 156","3.10","7956.84"
146,"Mumbai Masala 146","4.60","7868.08"
296,"Bombay Bistro 296","4.90","7841.98"
276,"Punjabi Dhaba 276","4.90","7791.88"
120,"Delhi Darbar 120","4.40","7763.58"
285,"Biryani House 285","4.40","7662.93"
284,"Chai & Chat 284","3.10","7649.69"
242,"Dragon Wok 242","5.00","7591.44"
249,"Golden Spoon 249","4.90","7541.99"
158,"Dragon Wok 158","3.80","7537.08"
168,"Annapurna Bhavan 168","3.90","7496.39"
237,"Mughal Mahal 237","3.80","7457.34"
155,"Delhi Darbar 155","3.80","7374.86"
74,"Golden Spoon 74","3.30","7271.42"
174,"Delhi Darbar 174","3.30","7169.82"
55,"Masala Magic 55","4.10","7137.17"
103,"The Curry Leaf 103","4.60","7027.01"
93,"South Spice 93","4.00","6982.75"
300,"Annapurna Bhavan 300","4.10","6956.08"
142,"The Curry Leaf 142","4.00","6948.59"
259,"Urban Tadka 259","4.10","6866.20"
63,"Masala Magic 63","4.70","6786.59"
172,"Chutney Express 172","3.10","6740.17"
184,"Dragon Wok 184","4.10","6702.09"
136,"Punjabi Dhaba 136","3.00","6686.82"
35,"Flavours of India 35","3.90","6658.59"
177,"Chutney Express 177","4.20","6648.56"
233,"Punjabi Dhaba 233","3.20","6567.24"
291,"South Spice 291","3.40","6539.18"
164,"Mughal Mahal 164","4.10","6519.98"
269,"Urban Tadka 269","5.00","6514.41"
90,"The Food Studio 90","3.20","6476.27"
88,"Burger Factory 88","4.30","6297.51"
218,"Annapurna Bhavan 218","4.20","6292.83"
196,"Punjabi Dhaba 196","3.60","6271.64"
69,"Masala Magic 69","3.80","6266.34"
293,"Golden Spoon 293","3.50","6241.83"
135,"Mumbai Masala 135","3.60","6176.70"
292,"Burger Factory 292","4.40","6170.30"
52,"Dragon Wok 52","3.10","6141.66"
12,"Curry Kingdom 12","4.10","6136.88"
85,"The Hungry Panda 85","4.90","6110.71"
79,"Dragon Wok 79","3.60","6104.44"
104,"The Food Studio 104","4.50","6095.20"
251,"Flavours of India 251","3.20","6030.77"
91,"Curry Kingdom 91","3.50","6016.86"
60,"Chai & Chat 60","3.80","6008.48"
230,"The Curry Leaf 230","3.60","5974.01"
236,"Burger Factory 236","3.90","5930.62"
268,"The Hungry Panda 268","3.60","5905.06"
122,"Kolkata Kitchen 122","3.90","5891.62"
84,"Dragon Wok 84","4.10","5886.62"
24,"Delhi Darbar 24","3.60","5863.55"
219,"South Spice 219","3.30","5813.48"
34,"South Spice 34","4.50","5793.37"
96,"Mumbai Masala 96","5.00","5772.33"
3,"South Spice 3","4.20","5731.05"
44,"Golden Spoon 44","4.50","5708.91"
267,"Taste of Punjab 267","4.90","5697.45"
203,"Golden Spoon 203","3.70","5692.39"
193,"The Curry Leaf 193","4.20","5691.44"
73,"Kolkata Kitchen 73","3.10","5650.35"
133,"Biryani House 133","4.30","5538.42"
228,"Pizza Junction 228","3.00","5537.71"
145,"South Spice 145","4.20","5493.93"
143,"Royal Tandoor 143","4.80","5409.79"
226,"Mumbai Masala 226","3.40","5377.35"
40,"Pizza Junction 40","4.20","5333.85"
243,"South Spice 243","3.10","5328.49"
179,"Curry Kingdom 179","4.90","5274.47"
77,"The Food Studio 77","4.20","5228.25"
214,"Chai & Chat 214","4.70","5223.16"
223,"Annapurna Bhavan 223","3.60","5209.31"
54,"Royal Tandoor 54","4.00","5206.84"
167,"Taste of Punjab 167","3.10","5153.39"
46,"The Hungry Panda 46","4.90","5077.01"
67,"Golden Spoon 67","4.80","5049.71"
232,"Caf̩ Masaledar 232","4.20","4988.42"
238,"Masala Magic 238","4.00","4949.20"
25,"Chai & Chat 25","4.80","4910.43"
150,"Rasoi Ghar 150","4.00","4845.14"
255,"Golden Spoon 255","3.40","4782.22"
31,"Bombay Bistro 31","3.10","4735.75"
127,"Tandoori Nights 127","4.50","4727.45"
274,"Taste of Punjab 274","3.60","4711.23"
117,"Masala Magic 117","4.20","4704.60"
278,"Curry Kingdom 278","4.10","4661.41"
94,"The Food Studio 94","4.30","4605.59"
115,"Annapurna Bhavan 115","4.90","4588.65"
286,"Urban Tadka 286","3.20","4587.98"
205,"Mughal Mahal 205","3.50","4586.87"
297,"Dragon Wok 297","4.90","4564.41"
140,"Golden Spoon 140","3.30","4557.62"
16,"Taste of Punjab 16","3.60","4522.62"
95,"Rasoi Ghar 95","3.00","4502.08"
21,"Masala Magic 21","4.40","4496.29"
148,"Pizza Junction 148","4.50","4484.77"
195,"Flavours of India 195","3.40","4410.94"
