"order_id","customer_id","restaurant_id","delivery_time"
3,43,138,60
14,204,164,60
29,219,237,60
52,202,251,60
61,191,85,60
76,31,204,60
178,247,33,60
240,68,92,60
284,40,39,60
368,289,223,60
386,27,112,60
395,278,188,60
402,107,252,60
449,212,211,60
501,160,12,60
539,156,289,60
647,2,79,60
682,129,251,60
693,188,179,60
825,203,136,60
849,34,248,60
865,184,99,60
877,246,222,60
905,77,168,60
926,72,79,60
941,23,123,60
944,23,237,60
961,199,69,60
983,179,261,60
995,99,133,60
30,222,203,59
93,103,150,59
156,142,267,59
160,89,142,59
203,71,215,59
230,72,210,59
344,298,52,59
345,135,122,59
357,86,173,59
403,213,189,59
443,71,45,59
541,40,143,59
555,129,99,59
591,108,223,59
684,168,79,59
707,240,138,59
741,15,149,59
760,3,169,59
787,205,249,59
835,77,167,59
879,267,122,59
887,182,216,59
913,299,22,59
958,113,34,59
19,217,194,58
70,128,284,58
71,14,155,58
131,201,291,58
144,45,151,58
169,16,124,58
177,192,288,58
225,286,282,58
235,54,199,58
297,77,96,58
303,247,88,58
319,3,47,58
321,206,267,58
323,266,147,58
401,132,26,58
451,137,291,58
474,75,17,58
480,271,45,58
513,237,88,58
518,294,250,58
530,71,213,58
544,17,176,58
578,33,55,58
599,88,176,58
636,183,48,58
642,218,213,58
660,160,186,58
718,129,255,58
766,199,244,58
828,81,287,58
841,297,228,58
847,62,27,58
859,165,175,58
962,247,35,58
973,102,126,58
978,233,146,58
999,109,268,58
1000,137,249,58
54,189,233,57
186,61,241,57
232,64,231,57
234,300,248,57
471,3,253,57
476,294,288,57
516,197,34,57
523,156,223,57
542,8,58,57
602,127,127,57
643,244,269,57
677,74,203,57
697,137,11,57
717,257,62,57
784,249,242,57
816,82,12,57
819,3,233,57
855,195,180,57
888,23,31,57
904,220,126,57
925,207,276,57
971,105,65,57
998,32,137,57
23,262,266,56
41,228,251,56
57,173,281,56
66,69,74,56
148,239,135,56
152,18,258,56
157,58,213,56
166,260,207,56
215,54,214,56
223,121,41,56
241,181,288,56
275,130,100,56
293,141,135,56
316,285,248,56
347,231,93,56
417,89,250,56
457,195,161,56
690,252,284,56
701,148,136,56
886,7,35,56
1,231,252,55
16,103,280,55
107,16,208,55
114,126,152,55
183,184,260,55
227,28,115,55
245,232,53,55
253,27,155,55
315,204,105,55
366,244,240,55
373,281,192,55
390,65,250,55
392,21,249,55
485,212,24,55
527,89,244,55
613,21,188,55
644,210,140,55
646,155,300,55
658,287,270,55
705,129,264,55
786,213,254,55
882,34,53,55
897,6,38,55
899,113,135,55
923,214,108,55
942,35,112,55
955,263,56,55
42,150,17,54
77,217,206,54
149,50,44,54
182,98,176,54
199,20,193,54
263,110,218,54
267,9,200,54
270,203,16,54
354,102,296,54
375,140,146,54
433,108,276,54
438,51,162,54
536,242,40,54
572,123,251,54
614,105,71,54
617,270,63,54
621,267,12,54
632,164,80,54
686,134,278,54
704,155,259,54
838,287,44,54
968,170,176,54
33,59,135,53
82,6,84,53
84,16,172,53
96,193,158,53
115,197,71,53
150,117,284,53
242,274,147,53
254,163,270,53
312,4,296,53
333,118,162,53
370,80,156,53
404,37,156,53
405,273,198,53
420,6,196,53
426,101,288,53
446,104,71,53
535,144,239,53
574,208,61,53
624,168,249,53
653,183,25,53
676,252,54,53
737,291,61,53
756,300,109,53
788,250,119,53
807,220,212,53
808,16,227,53
810,78,295,53
821,294,72,53
824,229,40,53
829,190,293,53
890,176,150,53
908,92,165,53
931,106,120,53
969,128,114,53
49,150,149,52
85,296,40,52
165,249,265,52
168,102,141,52
176,204,300,52
198,68,109,52
250,39,96,52
274,177,109,52
287,149,69,52
340,295,141,52
422,202,229,52
466,44,269,52
667,83,257,52
669,276,3,52
745,182,24,52
755,146,93,52
791,241,177,52
799,286,137,52
826,251,214,52
839,292,268,52
907,34,86,52
39,231,28,51
56,204,112,51
123,253,278,51
159,211,136,51
260,192,264,51
336,138,94,51
355,182,167,51
397,276,199,51
470,2,130,51
482,182,67,51
560,136,92,51
563,293,129,51
583,52,193,51
631,155,63,51
638,45,263,51
679,207,63,51
714,282,91,51
861,212,285,51
894,84,54,51
937,127,270,51
959,112,211,51
997,16,300,51
64,62,217,50
118,113,16,50
140,48,174,50
201,195,64,50
213,234,140,50
295,208,181,50
309,23,272,50
385,282,267,50
453,192,95,50
489,243,19,50
497,257,79,50
537,28,176,50
584,46,146,50
634,227,174,50
722,127,143,50
732,67,211,50
742,299,235,50
759,42,236,50
781,9,97,50
854,149,86,50
984,198,218,50
58,25,24,49
98,267,212,49
167,103,30,49
175,179,236,49
226,261,288,49
331,125,174,49
356,41,196,49
367,277,91,49
458,20,267,49
510,240,50,49
577,89,26,49
596,224,75,49
772,262,218,49
775,153,161,49
822,265,299,49
834,68,71,49
871,273,130,49
901,57,174,49
946,70,168,49
985,15,76,49
44,279,188,48
45,53,127,48
63,68,116,48
163,51,117,48
266,117,133,48
302,10,146,48
330,276,295,48
369,247,277,48
429,157,87,48
455,104,105,48
462,265,73,48
496,192,20,48
531,233,261,48
545,254,212,48
554,51,269,48
593,264,60,48
630,163,177,48
640,146,177,48
720,55,90,48
724,186,63,48
751,78,285,48
836,203,174,48
851,65,156,48
858,163,176,48
862,40,276,48
910,19,107,48
928,244,56,48
936,142,104,48
943,54,259,48
5,53,68,47
37,215,71,47
59,81,226,47
80,123,30,47
112,203,255,47
308,277,1,47
341,296,66,47
409,167,191,47
444,214,124,47
507,55,197,47
529,9,74,47
610,171,272,47
639,29,185,47
663,58,40,47
696,276,167,47
712,238,249,47
743,204,109,47
764,79,62,47
767,189,96,47
769,269,43,47
797,258,17,47
823,211,42,47
875,293,13,47
884,6,233,47
934,106,67,47
964,64,159,47
972,105,121,47
975,194,86,47
976,80,247,47
7,167,198,46
40,288,259,46
89,19,284,46
188,78,71,46
237,151,232,46
311,43,146,46
349,77,243,46
353,286,132,46
454,17,210,46
623,119,267,46
671,218,110,46
726,83,225,46
727,42,252,46
740,111,145,46
789,284,33,46
806,185,126,46
846,200,51,46
932,266,6,46
939,153,201,46
953,123,103,46
